account_number;agreement_number;account_type;name;balance;debit_credit;block_direct_entries;vat_code;self_url;created_at;updated_at;Mapping;Category
1000;1382005;heading;RESULTATOPGØRELSE;0;debit;0;\N;https://restapi.e-conomic.com/accounts/1000;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
1001;1382005;heading;Omsætning;0;debit;0;\N;https://restapi.e-conomic.com/accounts/1001;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
1010;1382005;profitAndLoss;Salg af varer/ydelser m/moms;0;credit;0;U25;https://restapi.e-conomic.com/accounts/1010;10/04/2025 10.33;01/05/2025 15.59;Other income;Income Statement
1011;1382005;profitAndLoss;MarkUp;0;debit;0;U25;https://restapi.e-conomic.com/accounts/1011;10/04/2025 10.33;01/05/2025 15.59;Other income;Income Statement
1012;1382005;profitAndLoss;Caretaker (revenue);-41666,75;debit;0;U25;https://restapi.e-conomic.com/accounts/1012;10/04/2025 10.33;01/05/2025 15.59;Other income;Income Statement
1013;1382005;profitAndLoss;Construction management (revenue);-330000;debit;0;U25;https://restapi.e-conomic.com/accounts/1013;10/04/2025 10.33;01/05/2025 15.59;Construction management;Income Statement
1019;1382005;profitAndLoss;Salg AM Fee til EU;0;debit;0;\N;https://restapi.e-conomic.com/accounts/1019;10/04/2025 10.33;01/05/2025 15.59;AM fee (revenue);Income Statement
1020;1382005;profitAndLoss;Salg AM Fee;-981250;credit;0;U25;https://restapi.e-conomic.com/accounts/1020;10/04/2025 10.33;01/05/2025 15.59;AM fee (revenue);Income Statement
1021;1382005;profitAndLoss;Salg PM fee to PropCo;-1411854,96;credit;0;U25;https://restapi.e-conomic.com/accounts/1021;10/04/2025 10.33;01/05/2025 15.59;PM fee (revenue);Income Statement
1022;1382005;profitAndLoss;Development fee (Revenue);-200000;debit;0;U25;https://restapi.e-conomic.com/accounts/1022;10/04/2025 10.33;01/05/2025 15.59;Development fee;Income Statement
1023;1382005;profitAndLoss;Consultancy Work;0;debit;0;U25;https://restapi.e-conomic.com/accounts/1023;10/04/2025 10.33;01/05/2025 15.59;Other income;Income Statement
1024;1382005;profitAndLoss;Reimbursed Cost;0;debit;0;U25;https://restapi.e-conomic.com/accounts/1024;10/04/2025 10.33;01/05/2025 15.59;People  Re-imbursement;Income Statement
1025;1382005;profitAndLoss;Other Income;0;credit;0;U25;https://restapi.e-conomic.com/accounts/1025;10/04/2025 10.33;01/05/2025 15.59;Other income;Income Statement
1026;1382005;profitAndLoss;Salg af ydelser til EU;0;credit;0;U25;https://restapi.e-conomic.com/accounts/1026;10/04/2025 10.33;01/05/2025 15.59;Other income;Income Statement
